category_feature,Dim1_loading,Dim2_loading,abs_Dim1_loading,abs_Dim2_loading,max_abs_loading,base_variable
metadata_profile_label_spike+LFP ephys profile,-0.18815295505647092,-0.019383047845155914,0.18815295505647092,0.019383047845155914,0.18815295505647092,metadata_profile_label
metadata_profile_label_spike+behavior reusable profile,0.18815295505647123,0.019383047845155862,0.18815295505647123,0.019383047845155862,0.18815295505647123,metadata_profile_label
recommended_analysis_type_LFP-behavior analysis,-0.1887895746620257,0.05979531911121799,0.1887895746620257,0.05979531911121799,0.1887895746620257,recommended_analysis_type
recommended_analysis_type_spike-behavior analysis,0.1881529550564711,0.01938304784515643,0.1881529550564711,0.01938304784515643,0.1881529550564711,recommended_analysis_type
recommended_analysis_type_spike/unit analysis,-0.03633727727203438,-0.11314191205543472,0.03633727727203438,0.11314191205543472,0.11314191205543472,recommended_analysis_type
recording_profile_group_lfp_only,-0.18878957466202573,0.05979531911121823,0.18878957466202573,0.05979531911121823,0.18878957466202573,recording_profile_group
recording_profile_group_spike_behavior,0.1881529550564711,0.019383047845155942,0.1881529550564711,0.019383047845155942,0.1881529550564711,recording_profile_group
recording_profile_group_spike_lfp,-0.03633727727203439,-0.11314191205543477,0.03633727727203439,0.11314191205543477,0.11314191205543477,recording_profile_group
has_recording_duration_False,-0.06254411245562534,0.2552188489615388,0.06254411245562534,0.2552188489615388,0.2552188489615388,has_recording_duration
has_recording_duration_True,0.06254411245562531,-0.2552188489615388,0.06254411245562531,0.2552188489615388,0.2552188489615388,has_recording_duration
has_spike_metadata_False,-0.18878957466202564,0.059795319111218256,0.18878957466202564,0.059795319111218256,0.18878957466202564,has_spike_metadata
has_spike_metadata_True,0.18878957466202564,-0.059795319111218256,0.18878957466202564,0.059795319111218256,0.18878957466202564,has_spike_metadata
has_sorted_unit_metadata_False,-0.18892952621885342,0.060103939657064266,0.18892952621885342,0.060103939657064266,0.18892952621885342,has_sorted_unit_metadata
has_sorted_unit_metadata_True,0.18892952621885367,-0.06010393965706421,0.18892952621885367,0.06010393965706421,0.18892952621885367,has_sorted_unit_metadata
has_lfp_metadata_False,0.09933936785037784,0.19657970148186524,0.09933936785037784,0.19657970148186524,0.19657970148186524,has_lfp_metadata
has_lfp_metadata_True,-0.09933936785037785,-0.19657970148186524,0.09933936785037785,0.19657970148186524,0.19657970148186524,has_lfp_metadata
has_trial_metadata_False,0.15862617476075697,-0.09990702413904884,0.15862617476075697,0.09990702413904884,0.15862617476075697,has_trial_metadata
has_trial_metadata_True,-0.15862617476075694,0.09990702413904887,0.15862617476075694,0.09990702413904887,0.15862617476075694,has_trial_metadata
has_event_metadata_False,0.06254411245562533,-0.2552188489615388,0.06254411245562533,0.2552188489615388,0.2552188489615388,has_event_metadata
has_event_metadata_True,-0.06254411245562536,0.2552188489615388,0.06254411245562536,0.2552188489615388,0.2552188489615388,has_event_metadata
has_position_metadata_False,-0.18879688522151783,-0.018584314101717157,0.18879688522151783,0.018584314101717157,0.18879688522151783,has_position_metadata
has_position_metadata_True,0.18879688522151783,0.018584314101717157,0.18879688522151783,0.018584314101717157,0.18879688522151783,has_position_metadata
has_sampling_rate_metadata_False,-0.158626174760757,0.0999070241390489,0.158626174760757,0.0999070241390489,0.158626174760757,has_sampling_rate_metadata
has_sampling_rate_metadata_True,0.15862617476075702,-0.09990702413904891,0.15862617476075702,0.09990702413904891,0.15862617476075702,has_sampling_rate_metadata
has_brain_region_metadata_False,-0.09237146525408546,-0.22106225462378248,0.09237146525408546,0.22106225462378248,0.22106225462378248,has_brain_region_metadata
has_brain_region_metadata_True,0.09237146525408545,0.22106225462378246,0.09237146525408545,0.22106225462378246,0.22106225462378246,has_brain_region_metadata
has_standardized_format_False,-0.09933936785037788,-0.1965797014818654,0.09933936785037788,0.1965797014818654,0.1965797014818654,has_standardized_format
has_standardized_format_True,0.09933936785037789,0.19657970148186535,0.09933936785037789,0.19657970148186535,0.19657970148186535,has_standardized_format
can_do_spike_analysis_False,-0.18878957466202564,0.059795319111218256,0.18878957466202564,0.059795319111218256,0.18878957466202564,can_do_spike_analysis
can_do_spike_analysis_True,0.18878957466202564,-0.059795319111218256,0.18878957466202564,0.059795319111218256,0.18878957466202564,can_do_spike_analysis
can_do_lfp_analysis_False,0.09933936785037782,0.19657970148186507,0.09933936785037782,0.19657970148186507,0.19657970148186507,can_do_lfp_analysis
can_do_lfp_analysis_True,-0.09933936785037785,-0.19657970148186518,0.09933936785037785,0.19657970148186518,0.19657970148186518,can_do_lfp_analysis
can_do_behavior_analysis_False,-0.03633727727203445,-0.11314191205543465,0.03633727727203445,0.11314191205543465,0.11314191205543465,can_do_behavior_analysis
can_do_behavior_analysis_True,0.03633727727203445,0.11314191205543465,0.03633727727203445,0.11314191205543465,0.11314191205543465,can_do_behavior_analysis
can_do_position_analysis_False,-0.18879688522151783,-0.018584314101717157,0.18879688522151783,0.018584314101717157,0.18879688522151783,can_do_position_analysis
can_do_position_analysis_True,0.18879688522151783,0.018584314101717157,0.18879688522151783,0.018584314101717157,0.18879688522151783,can_do_position_analysis
can_do_spike_behavior_analysis_False,-0.1881529550564708,-0.019383047845155963,0.1881529550564708,0.019383047845155963,0.1881529550564708,can_do_spike_behavior_analysis
can_do_spike_behavior_analysis_True,0.1881529550564708,0.019383047845155963,0.1881529550564708,0.019383047845155963,0.1881529550564708,can_do_spike_behavior_analysis
can_do_spike_position_analysis_False,-0.18879688522151783,-0.018584314101717386,0.18879688522151783,0.018584314101717386,0.18879688522151783,can_do_spike_position_analysis
can_do_spike_position_analysis_True,0.18879688522151783,0.018584314101717386,0.18879688522151783,0.018584314101717386,0.18879688522151783,can_do_spike_position_analysis
can_do_lfp_behavior_analysis_False,0.06702433195209583,0.1073645277453645,0.06702433195209583,0.1073645277453645,0.1073645277453645,can_do_lfp_behavior_analysis
can_do_lfp_behavior_analysis_True,-0.06702433195209583,-0.1073645277453645,0.06702433195209583,0.1073645277453645,0.1073645277453645,can_do_lfp_behavior_analysis
can_do_cross_dataset_comparison_False,-0.09237146525408546,-0.22106225462378248,0.09237146525408546,0.22106225462378248,0.22106225462378248,can_do_cross_dataset_comparison
can_do_cross_dataset_comparison_True,0.09237146525408545,0.22106225462378246,0.09237146525408545,0.22106225462378246,0.22106225462378246,can_do_cross_dataset_comparison
context_open_field_False,-0.08105744106210491,0.2265864672245858,0.08105744106210491,0.2265864672245858,0.2265864672245858,context_open_field
context_open_field_True,0.08105744106210491,-0.2265864672245858,0.08105744106210491,0.2265864672245858,0.2265864672245858,context_open_field
context_object_False,-0.053753780473340854,-0.10446101465435882,0.053753780473340854,0.10446101465435882,0.10446101465435882,context_object
context_object_True,0.053753780473340854,0.10446101465435882,0.053753780473340854,0.10446101465435882,0.10446101465435882,context_object
context_task_False,0.14683912162054105,-0.11907598291943305,0.14683912162054105,0.11907598291943305,0.14683912162054105,context_task
context_task_True,-0.14683912162054086,0.11907598291943289,0.14683912162054086,0.11907598291943289,0.14683912162054086,context_task
context_sleep_False,-0.035653931887121904,-0.07766572389704125,0.035653931887121904,0.07766572389704125,0.07766572389704125,context_sleep
context_sleep_True,0.03565393188712191,0.07766572389704125,0.03565393188712191,0.07766572389704125,0.07766572389704125,context_sleep
