dataset_short_name,session_id,subject_id,unit_id,brain_region,behavioral_context,n_spikes,firing_rate_hz,recording_duration_s,cell_type,quality_label,is_preview_record,source_level
openfield_ca1,24101_2018-03-22,24101,1_1,CA1,open_field,412,0.09139307897071872,4508.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-22,24101,1_2,CA1,open_field,6597,1.4633984028393967,4508.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,10_1,CA1,open_field,756,0.3199322894625476,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,10_2,CA1,open_field,1769,0.7486246297079983,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,10_3,CA1,open_field,282,0.11933982225983919,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,10_4,CA1,open_field,1013,0.4286923402454507,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,10_5,CA1,open_field,13423,5.68049090139653,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,10_6,CA1,open_field,858,0.3630977570884469,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,1_1,CA1,open_field,321,0.1358442657638595,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,3_1,CA1,open_field,5050,2.137113838341092,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,6_1,CA1,open_field,1049,0.44392721117223866,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,7_1,CA1,open_field,1168,0.4942869234024545,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,7_2,CA1,open_field,19456,8.23360135421075,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-24,24101,9_1,CA1,open_field,11032,4.668641557342362,2363.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_3,CA1,open_field,1,0.00031036623215394165,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_4,CA1,open_field,598,0.1855990068280571,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_5,CA1,open_field,4723,1.4658597144630665,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_6,CA1,open_field,79,0.02451893234016139,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_7,CA1,open_field,78,0.024208566108007448,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_8,CA1,open_field,590,0.18311607697082558,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_9,CA1,open_field,1846,0.5729360645561763,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_10,CA1,open_field,119,0.03693358162631906,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,10_11,CA1,open_field,2364,0.7337057728119181,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_1,CA1,open_field,273,0.08472998137802606,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_2,CA1,open_field,342,0.10614525139664804,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_3,CA1,open_field,273,0.08472998137802606,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_4,CA1,open_field,1720,0.5338299193047796,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_5,CA1,open_field,495,0.15363128491620112,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_6,CA1,open_field,571,0.1772191185599007,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_7,CA1,open_field,2646,0.8212290502793296,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_8,CA1,open_field,732,0.2271880819366853,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_9,CA1,open_field,259,0.08038485412787089,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_10,CA1,open_field,186,0.05772811918063315,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,11_11,CA1,open_field,5923,1.8382991930477963,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,1_1,CA1,open_field,5501,1.707324643078833,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,3_1,CA1,open_field,4376,1.3581626319056486,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,3_2,CA1,open_field,6465,2.0065176908752327,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-26,24101,3_3,CA1,open_field,4579,1.4211669770328987,3222.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_2,CA1,open_field,383,0.07192488262910798,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_3,CA1,open_field,316,0.059342723004694835,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_4,CA1,open_field,2008,0.37708920187793427,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_5,CA1,open_field,2,0.0003755868544600939,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_6,CA1,open_field,802,0.15061032863849766,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_7,CA1,open_field,74,0.013896713615023475,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_8,CA1,open_field,1386,0.26028169014084507,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_9,CA1,open_field,52,0.009765258215962441,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_11,CA1,open_field,516,0.09690140845070423,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_12,CA1,open_field,79,0.014835680751173709,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_13,CA1,open_field,283,0.05314553990610329,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_14,CA1,open_field,1132,0.21258215962441315,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_15,CA1,open_field,15995,3.003755868544601,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_16,CA1,open_field,275,0.051643192488262914,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,11_17,CA1,open_field,129,0.024225352112676058,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,8_1,CA1,open_field,3000,0.5633802816901409,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,8_2,CA1,open_field,2908,0.5461032863849765,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-03-27,24101,8_3,CA1,open_field,1588,0.29821596244131454,5325.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,11_1,CA1,open_field,134,0.023847659725929882,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,11_2,CA1,open_field,604,0.10749243637657946,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,11_3,CA1,open_field,1200,0.21356113187399894,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,11_4,CA1,open_field,22878,4.0715429791777895,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,11_5,CA1,open_field,1953,0.3475707421249333,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,11_6,CA1,open_field,909,0.16177255739455418,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_1,CA1,open_field,561,0.0998398291510945,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_2,CA1,open_field,192,0.03416978109983983,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_3,CA1,open_field,908,0.16159458978465918,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_4,CA1,open_field,599,0.10660259832710446,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_5,CA1,open_field,913,0.1624844278341342,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_6,CA1,open_field,84,0.014949279231179925,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_7,CA1,open_field,203,0.03612742480868482,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_8,CA1,open_field,685,0.12190781277807439,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_9,CA1,open_field,414,0.07367859049652963,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_10,CA1,open_field,1116,0.198611852642819,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,1_11,CA1,open_field,2272,0.404342409681438,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,4_1,CA1,open_field,2146,0.3819184908346681,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,4_2,CA1,open_field,1458,0.2594767752269087,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-03,24101,4_3,CA1,open_field,2597,0.4621818828973127,5619.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_2,CA1,open_field,201,0.11086596800882516,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_3,CA1,open_field,671,0.37010479867622725,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_4,CA1,open_field,658,0.36293436293436293,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_5,CA1,open_field,2980,1.643684500827358,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_6,CA1,open_field,1035,0.5708769994484281,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_7,CA1,open_field,3132,1.727523441809156,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_8,CA1,open_field,21930,12.095973524544954,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_9,CA1,open_field,978,0.5394373965802537,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,11_10,CA1,open_field,2052,1.1318257032542747,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_1,CA1,open_field,1072,0.5912851627137341,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_2,CA1,open_field,403,0.2222835079977937,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_3,CA1,open_field,934,0.5151682294539437,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_4,CA1,open_field,529,0.2917815774958632,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_6,CA1,open_field,169,0.09321566464423607,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_8,CA1,open_field,505,0.2785438499724214,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_9,CA1,open_field,526,0.290126861555433,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_10,CA1,open_field,508,0.28019856591285164,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_11,CA1,open_field,1261,0.6955322669608384,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_12,CA1,open_field,582,0.3210148924434639,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_13,CA1,open_field,99,0.05460562603419746,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_14,CA1,open_field,843,0.46497517926089355,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-04,24101,1_15,CA1,open_field,714,0.3938223938223938,1813.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_2,CA1,open_field,251,0.0952561669829222,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_3,CA1,open_field,187,0.07096774193548387,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_4,CA1,open_field,57,0.021631878557874764,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_5,CA1,open_field,3626,1.3760910815939278,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_6,CA1,open_field,347,0.1316888045540797,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_7,CA1,open_field,869,0.32979127134724856,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_8,CA1,open_field,14730,5.590132827324478,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_9,CA1,open_field,524,0.19886148007590132,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_10,CA1,open_field,1159,0.4398481973434535,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,11_11,CA1,open_field,1967,0.7464895635673624,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_3,CA1,open_field,23,0.00872865275142315,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_4,CA1,open_field,38,0.014421252371916509,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_6,CA1,open_field,4,0.0015180265654648956,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_8,CA1,open_field,656,0.2489563567362429,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_9,CA1,open_field,47,0.017836812144212524,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_10,CA1,open_field,13,0.004933586337760911,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_11,CA1,open_field,2492,0.9457305502846299,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_12,CA1,open_field,2,0.0007590132827324478,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_14,CA1,open_field,209,0.0793168880455408,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_15,CA1,open_field,44,0.01669829222011385,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_16,CA1,open_field,577,0.21897533206831118,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_17,CA1,open_field,1244,0.47210626185958254,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_18,CA1,open_field,9800,3.7191650853889944,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_19,CA1,open_field,1552,0.5889943074003795,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-05,24101,1_20,CA1,open_field,399,0.15142314990512334,2635.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,10_1,CA1,open_field,161,0.022237569060773482,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_1,CA1,open_field,1,0.00013812154696132598,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_3,CA1,open_field,80,0.011049723756906077,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_4,CA1,open_field,8,0.0011049723756906078,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_8,CA1,open_field,1317,0.1819060773480663,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_9,CA1,open_field,22,0.0030386740331491712,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_10,CA1,open_field,73,0.010082872928176796,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_11,CA1,open_field,798,0.11022099447513813,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_14,CA1,open_field,17,0.0023480662983425414,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_15,CA1,open_field,21,0.0029005524861878454,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_16,CA1,open_field,379,0.052348066298342544,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_17,CA1,open_field,701,0.09682320441988951,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_18,CA1,open_field,1278,0.17651933701657457,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_19,CA1,open_field,1739,0.24019337016574585,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_20,CA1,open_field,32,0.004419889502762431,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,1_21,CA1,open_field,770,0.106353591160221,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_1,CA1,open_field,365,0.05041436464088398,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_2,CA1,open_field,194,0.02679558011049724,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_3,CA1,open_field,476,0.06574585635359116,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_4,CA1,open_field,761,0.10511049723756906,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_5,CA1,open_field,284,0.039226519337016576,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_6,CA1,open_field,264,0.036464088397790057,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_7,CA1,open_field,134,0.018508287292817678,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_8,CA1,open_field,170,0.023480662983425413,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_9,CA1,open_field,1064,0.14696132596685083,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_10,CA1,open_field,781,0.10787292817679558,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_11,CA1,open_field,1576,0.2176795580110497,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_12,CA1,open_field,2385,0.3294198895027624,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-06,24101,8_13,CA1,open_field,2982,0.41187845303867404,7240.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_1,CA1,open_field,260,0.17639077340569878,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_2,CA1,open_field,518,0.3514246947082768,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_3,CA1,open_field,567,0.38466757123473544,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_4,CA1,open_field,480,0.3256445047489824,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_5,CA1,open_field,1141,0.7740841248303935,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_6,CA1,open_field,1263,0.8568521031207599,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_7,CA1,open_field,2962,2.009497964721845,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_8,CA1,open_field,386,0.2618724559023066,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_9,CA1,open_field,251,0.17028493894165536,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_10,CA1,open_field,15606,10.587516960651289,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_11,CA1,open_field,2175,1.4755766621438262,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,11_12,CA1,open_field,10510,7.130257801899593,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,1_3,CA1,open_field,1,0.0006784260515603799,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,1_8,CA1,open_field,896,0.6078697421981004,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,1_9,CA1,open_field,22,0.014925373134328358,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,1_14,CA1,open_field,67,0.045454545454545456,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,1_15,CA1,open_field,2,0.0013568521031207597,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,1_16,CA1,open_field,1151,0.7808683853459973,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
openfield_ca1,24101_2018-04-11,24101,1_18,CA1,open_field,3,0.0020352781546811396,1474.0,,mclust_sorted,False,mclust_spikes_per_unit
