dataset_short_name,session_id,subject_id,trial_id,trial_type,trial_outcome,trial_side,object_id,n_spikes_total,n_spiketrains,n_events,is_preview_record,source_level
touchandsee,Taskmaster_samp16_2011-12-24,Taskmaster,Trial 5,memory,incorrect,left,,0,53,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp17_2011-12-25,Taskmaster,Trial 1,normal,incorrect,left,,0,67,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp17_2011-12-25,Taskmaster,Trial 2,normal,correct,right,,0,67,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp17_2011-12-25,Taskmaster,Trial 3,normal,correct,right,,0,67,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp17_2011-12-25,Taskmaster,Trial 4,normal,correct,left,,0,67,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp17_2011-12-25,Taskmaster,Trial 5,normal,correct,right,,0,67,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp18_2011-12-29,Taskmaster,Trial 1,memory,correct,right,,0,45,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp18_2011-12-29,Taskmaster,Trial 2,normal,correct,left,,0,45,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp18_2011-12-29,Taskmaster,Trial 3,memory,correct,right,,0,45,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp18_2011-12-29,Taskmaster,Trial 4,normal,incorrect,right,,0,45,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp18_2011-12-29,Taskmaster,Trial 5,normal,correct,left,,0,45,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp19_2011-12-30,Taskmaster,Trial 1,normal,incorrect,right,,0,44,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp19_2011-12-30,Taskmaster,Trial 2,memory,incorrect,left,,0,44,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp19_2011-12-30,Taskmaster,Trial 3,normal,incorrect,right,,0,44,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp19_2011-12-30,Taskmaster,Trial 4,normal,correct,left,,0,44,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp19_2011-12-30,Taskmaster,Trial 5,memory,correct,right,,0,44,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp2_2012-01-03,Taskmaster,Trial 2,memory,incorrect,left,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp2_2012-01-03,Taskmaster,Trial 3,normal,correct,right,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp2_2012-01-03,Taskmaster,Trial 4,memory,incorrect,right,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp2_2012-01-03,Taskmaster,Trial 5,normal,incorrect,right,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp2_2012-01-03,Taskmaster,Trial 7,normal,correct,right,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp3_2012-01-04,Taskmaster,Trial 4,memory,incorrect,left,,0,57,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp3_2012-01-04,Taskmaster,Trial 5,normal,correct,left,,0,57,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp3_2012-01-04,Taskmaster,Trial 6,normal,correct,right,,0,57,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp3_2012-01-04,Taskmaster,Trial 7,memory,correct,left,,0,57,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp3_2012-01-04,Taskmaster,Trial 8,normal,correct,right,,0,57,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp4_2012-01-05,Taskmaster,Trial 1,normal,correct,right,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp4_2012-01-05,Taskmaster,Trial 2,normal,correct,left,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp4_2012-01-05,Taskmaster,Trial 3,normal,incorrect,right,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp4_2012-01-05,Taskmaster,Trial 4,normal,correct,left,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp4_2012-01-05,Taskmaster,Trial 5,normal,correct,right,,0,58,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp5_2012-01-06,Taskmaster,Trial 2,memory,incorrect,left,,0,75,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp5_2012-01-06,Taskmaster,Trial 3,normal,incorrect,right,,0,75,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp5_2012-01-06,Taskmaster,Trial 4,normal,correct,right,,0,75,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp5_2012-01-06,Taskmaster,Trial 5,memory,correct,right,,0,75,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp5_2012-01-06,Taskmaster,Trial 6,normal,correct,left,,0,75,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp6_2012-01-10,Taskmaster,Trial 1,normal,incorrect,right,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp6_2012-01-10,Taskmaster,Trial 2,memory,incorrect,right,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp6_2012-01-10,Taskmaster,Trial 3,normal,correct,left,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp6_2012-01-10,Taskmaster,Trial 4,memory,incorrect,left,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp6_2012-01-10,Taskmaster,Trial 5,normal,correct,right,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp7_2012-01-11,Taskmaster,Trial 2,normal,correct,right,,0,68,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp7_2012-01-11,Taskmaster,Trial 3,normal,correct,left,,0,68,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp7_2012-01-11,Taskmaster,Trial 4,normal,incorrect,right,,0,68,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp7_2012-01-11,Taskmaster,Trial 5,normal,correct,right,,0,68,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp7_2012-01-11,Taskmaster,Trial 6,normal,correct,left,,0,68,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp8_2012-01-12,Taskmaster,Trial 1,normal,correct,left,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp8_2012-01-12,Taskmaster,Trial 2,normal,correct,left,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp8_2012-01-12,Taskmaster,Trial 3,memory,correct,right,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp8_2012-01-12,Taskmaster,Trial 4,normal,correct,left,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp8_2012-01-12,Taskmaster,Trial 5,memory,correct,right,,0,64,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 2,normal,incorrect,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 3,memory,correct,left,,0,48,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 4,normal,correct,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 5,memory,correct,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,Trial 6,normal,incorrect,left,,0,48,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 1,normal,incorrect,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 2,normal,correct,left,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 3,normal,incorrect,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 5,normal,correct,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp34_2012-09-14,Turing,Trial 6,normal,correct,right,,0,21,6,True,touchandsee_segment_preview
touchandsee,Turing_samp35_2012-09-15,Turing,Trial 5,normal,incorrect,right,,0,24,6,True,touchandsee_segment_preview
touchandsee,Turing_samp35_2012-09-15,Turing,Trial 7,normal,correct,left,,0,24,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 2,memory,incorrect,right,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 3,normal,incorrect,left,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 6,normal,correct,right,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 7,memory,incorrect,left,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp36_2012-09-15,Turing,Trial 8,normal,incorrect,right,,0,20,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 3,normal,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 4,normal,incorrect,left,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 5,memory,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 6,normal,incorrect,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp37_2012-09-16,Turing,Trial 7,normal,incorrect,left,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 2,normal,incorrect,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 3,memory,correct,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 4,normal,correct,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 5,normal,incorrect,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp38_2012-09-17,Turing,Trial 6,memory,correct,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 1,normal,incorrect,left,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 2,normal,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 3,normal,correct,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 4,normal,correct,left,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 5,normal,incorrect,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 2,memory,correct,left,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 4,normal,incorrect,left,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 5,normal,incorrect,left,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 6,normal,correct,right,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 7,normal,incorrect,right,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 3,normal,incorrect,right,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 4,normal,incorrect,left,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 5,memory,correct,right,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 6,normal,correct,left,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 8,normal,correct,left,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 2,normal,incorrect,right,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 3,normal,correct,right,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 4,normal,incorrect,right,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 5,normal,incorrect,left,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 6,memory,correct,right,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp43_2012-09-21,Turing,Trial 2,normal,correct,left,,0,19,6,True,touchandsee_segment_preview
touchandsee,Turing_samp43_2012-09-21,Turing,Trial 3,normal,correct,right,,0,19,6,True,touchandsee_segment_preview
touchandsee,Turing_samp43_2012-09-21,Turing,Trial 4,normal,incorrect,left,,0,19,6,True,touchandsee_segment_preview
touchandsee,Turing_samp43_2012-09-21,Turing,Trial 5,memory,incorrect,right,,0,19,6,True,touchandsee_segment_preview
touchandsee,Turing_samp43_2012-09-21,Turing,Trial 6,normal,incorrect,right,,0,19,6,True,touchandsee_segment_preview
touchandsee,Turing_samp44_2012-09-22,Turing,Trial 1,normal,incorrect,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp44_2012-09-22,Turing,Trial 2,normal,correct,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp44_2012-09-22,Turing,Trial 3,normal,incorrect,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp44_2012-09-22,Turing,Trial 4,normal,incorrect,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp44_2012-09-22,Turing,Trial 5,normal,incorrect,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp45_2012-09-25,Turing,Trial 1,normal,correct,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp45_2012-09-25,Turing,Trial 2,memory,correct,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp45_2012-09-25,Turing,Trial 3,normal,correct,right,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp45_2012-09-25,Turing,Trial 4,memory,correct,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp45_2012-09-25,Turing,Trial 5,normal,correct,left,,0,18,6,True,touchandsee_segment_preview
touchandsee,Turing_samp46_2012-09-26,Turing,Trial 1,normal,correct,right,,0,7,6,True,touchandsee_segment_preview
touchandsee,Turing_samp46_2012-09-26,Turing,Trial 2,normal,correct,left,,0,7,6,True,touchandsee_segment_preview
touchandsee,Turing_samp46_2012-09-26,Turing,Trial 3,normal,correct,right,,0,7,6,True,touchandsee_segment_preview
touchandsee,Turing_samp46_2012-09-26,Turing,Trial 5,normal,incorrect,right,,0,7,6,True,touchandsee_segment_preview
touchandsee,Turing_samp46_2012-09-26,Turing,Trial 6,memory,incorrect,right,,0,7,6,True,touchandsee_segment_preview
